"uid","full_sci_name","match_type","BB_Accepted","BB_Accepted2","BB_Accepted3","BB_Accepted4","fuzzy_score"
"Abditomys_latidens","Abditomys latidens","1 - exact_fullsci_w_ssp","Abditomys latidens",NA,NA,NA,NA
"Abeomelomys_sevia","Abeomelomys sevia","1 - exact_fullsci_w_ssp","Abeomelomys sevia",NA,NA,NA,NA
"Abrawayaomys_ruschii","Abrawayaomys ruschii","1 - exact_fullsci_w_ssp","Abrawayaomys ruschii",NA,NA,NA,NA
"Abrocoma_bennettii","Abrocoma bennettii","1 - exact_fullsci_w_ssp","Abrocoma bennettii",NA,NA,NA,NA
"Abrocoma_boliviensis","Abrocoma boliviensis","1 - exact_fullsci_w_ssp","Abrocoma boliviensis",NA,NA,NA,NA
"Abrocoma_budini","Abrocoma budini","1 - exact_fullsci_w_ssp","Abrocoma budini",NA,NA,NA,NA
"Abrocoma_cinerea","Abrocoma cinerea","1 - exact_fullsci_w_ssp","Abrocoma cinerea",NA,NA,NA,NA
"Abrocoma_famatina","Abrocoma famatina","1 - exact_fullsci_w_ssp","Abrocoma famatina",NA,NA,NA,NA
"Abrocoma_uspallata","Abrocoma uspallata","1 - exact_fullsci_w_ssp","Abrocoma uspallata",NA,NA,NA,NA
"Abrocoma_vaccarum","Abrocoma vaccarum","1 - exact_fullsci_w_ssp","Abrocoma vaccarum",NA,NA,NA,NA
"Abrothrix_jelskii","Abrothrix jelskii","1 - exact_fullsci_w_ssp","Abrothrix jelskii",NA,NA,NA,NA
"Abrothrix_longipilis","Abrothrix longipilis","1 - exact_fullsci_w_ssp","Abrothrix longipilis",NA,NA,NA,NA
"Abrothrix_manni","Abrothrix manni","1 - exact_fullsci_w_ssp","Abrothrix manni",NA,NA,NA,NA
"Abrothrix_sanborni","Abrothrix sanborni","1 - exact_fullsci_w_ssp","Abrothrix sanborni",NA,NA,NA,NA
"Acerodon_celebensis","Acerodon celebensis","1 - exact_fullsci_w_ssp","Acerodon celebensis",NA,NA,NA,NA
"Acerodon_humilis","Acerodon humilis","1 - exact_fullsci_w_ssp","Acerodon humilis",NA,NA,NA,NA
"Acerodon_jubatus","Acerodon jubatus","1 - exact_fullsci_w_ssp","Acerodon jubatus",NA,NA,NA,NA
"Acerodon_leucotis","Acerodon leucotis","1 - exact_fullsci_w_ssp","Acerodon leucotis",NA,NA,NA,NA
"Acinonyx_jubatus","Acinonyx jubatus","1 - exact_fullsci_w_ssp","Acinonyx jubatus",NA,NA,NA,NA
"Acomys_cahirinus","Acomys cahirinus","1 - exact_fullsci_w_ssp","Acomys cahirinus",NA,NA,NA,NA
"Acomys_cilicicus","Acomys cilicicus","1 - exact_fullsci_w_ssp","Acomys cilicicus",NA,NA,NA,NA
"Acomys_cineraceus","Acomys cineraceus","1 - exact_fullsci_w_ssp","Acomys cineraceus",NA,NA,NA,NA
"Acomys_dimidiatus","Acomys dimidiatus","1 - exact_fullsci_w_ssp","Acomys dimidiatus",NA,NA,NA,NA
"Acomys_ignitus","Acomys ignitus","1 - exact_fullsci_w_ssp","Acomys ignitus",NA,NA,NA,NA
"Acomys_johannis","Acomys johannis","1 - exact_fullsci_w_ssp","Acomys johannis",NA,NA,NA,NA
"Acomys_kempi","Acomys kempi","1 - exact_fullsci_w_ssp","Acomys kempi",NA,NA,NA,NA
"Acomys_louisae","Acomys louisae","1 - exact_fullsci_w_ssp","Acomys louisae",NA,NA,NA,NA
"Acomys_minous","Acomys minous","1 - exact_fullsci_w_ssp","Acomys minous",NA,NA,NA,NA
"Acomys_mullah","Acomys mullah","1 - exact_fullsci_w_ssp","Acomys mullah",NA,NA,NA,NA
"Acomys_muzei","Acomys muzei","1 - exact_fullsci_w_ssp","Acomys muzei",NA,NA,NA,NA
"Acomys_nesiotes","Acomys nesiotes","1 - exact_fullsci_w_ssp","Acomys nesiotes",NA,NA,NA,NA
