uid	bb_name	bb_name2	bb_name3	bb_name4	source	notes
Arctophoca_australis	Arctocephalus australis	NA	NA	NA	MDD	MDD: has been moved to Arctophoca by a number of molecular studies using mtDNA, which found that Arctocephalus pusillus was not related to other members of the genus, but the paraphyly presented in earlier studies is likely a result of mitonuclear discordance and the genus Arctocephalus is now retained following recent studies using nuclear and mitochondrial markers; phyl uses Arctocephalus australis
Artibeus_watsoni	Dermanura watsoni	Dermanura incomitatus	NA	NA	MDD	watsoni includes incomitatus; moved to Dermanura from Artibeus, although some recent publications do not agree with this split, there seems to be more publications using this revised taxonomy rather than leaving all species under Artibeus
Cheracebus_torquatus	Callicebus torquatus	Callicebus purinus	NA	NA	MDD	moved from Callicebus to the recently described Cheracebus, although this arrangement is considered tentative, as some recent publications prefer to recognize Cheracebus and Plecturocebus as subgenera of Callicebus; purinus is now a synonym of C. torquatus since the type locality and specimen of C. torquatus was proven to be from populations previously attributed to C. purinus; thus, the species previously known as C. purinus is now known as C. torquatus
Heterogeomys_cherriei	Orthogeomys cherriei	Orthogeomys matagalpae	NA	NA	MDD	includes matagalpae; moved to Heterogeomys from Orthogeomys
Heterogeomys_dariensis	Orthogeomys dariensis	Orthogeomys thaeleri	NA	NA	MDD	includes thaeleri; moved to Heterogeomys from Orthogeomys
Hylopetes_sagitta	Petinomys sagitta	Hylopetes lepidus	NA	NA	MDD	includes lepidus; moved from Petinomys to Hylopetes
Laephotis_capensis	Neoromicia capensis	Neoromicia melckorum	NA	NA	MDD	includes melckorum; moved from Neoromicia to Laephotis
Lagothrix_lagothricha	Lagothrix lagotricha	Lagothrix cana	Lagothrix poeppigii	Lagothrix lugens	MDD	includes lugens, cana, and poeppigii
Lycalopex_gymnocercus	Pseudalopex gymnocercus	NA	NA	NA	MDD	both griseus and gymnocercus are seprate in phylogeny and MOL; MDD: there is considerable confusion regarding the species boundaries between L. griseus and L. gymnocercus, with some studies supporting a single species, two traditional species, or two species that don't match the current distribution of either species; both species are retained here until more conclusive studies are available; Lycalopex has priority over Pseudalopex, although some publications use Pseudalopex
Mirostrellus_joffrei	Pipistrellus anthonyi	Pipistrellus joffrei	NA	NA	MDD	moved from Hypsugo to the recently described Mirostrellus; includes anthonyi
Rhinopoma_cystops	Rhinopoma hardwickii	Rhinopoma macinnesi	NA	NA	MDD	split from R. hardwickii and includes macinnesi
Cervus_canadensis	Cervus elaphus	NA	NA	NA	MDD	split from C. elaphus, includes alashanicus, macneilli, wallichii, xanthopygus
Microtus_drummondii	Microtus pennsylvanicus	NA	NA	NA	MDD	split from M. pennsylvanicus
Lissonycteris_angolensis	Myonycteris angolensis	NA	NA	NA	MDD	occasionally included under the genus Lissonycteris, although most recent publications include the species under Myonycteris
Metachirus_myosuros	Metachirus nudicaudatus	NA	NA	NA	MDD	split from M. nudicaudatus
Urva_auropunctata	Herpestes javanicus	NA	NA	NA	MDD	auropuctata split from U. javanica; moved from Herpestes to Urva, species misspelled: -us -> -a; phylogeny has H. javanicus only
Tragelaphus_sylvaticus	Tragelaphus scriptus	NA	NA	NA	MDD	split from T. scriptus based on molecular data; phylogeny only contains scriptus
Lasiurus_villosissimus	Lasiurus cinereus	NA	NA	NA	MDD	split from cinereus; phylogeny only contains cinereus
Myotis_sibiricus	Myotis brandtii	NA	NA	NA	MDD	split from M. brandtii; includes gracilis; phylogeny only contains brandtii
Giraffa_giraffa	Giraffa camelopardalis	NA	NA	NA	MDD	MDD: camelopardalis previously included G. giraffa, G. reticulata, and G. tippelskirchi; phylogeny lumps them all as camelopardalis
Giraffa_tippelskirchi	Giraffa camelopardalis	NA	NA	NA	MDD	MDD: camelopardalis previously included G. giraffa, G. reticulata, and G. tippelskirchi; phylogeny lumps them all as camelopardalis
Berardius_minimus	Berardius bairdii	NA	NA	NA	MDD	described in 2019; previously confused with bairdii which is represented in the phylogeny
Thomasomys_fumeus	Thomasomys rhoadsi	NA	NA	NA	MDD	split from rhoadsi in MOL but not in phylogeny
Canis_lupaster	Canis_anthus	NA	NA	NA	MDD	split from C. aureus; the name lupaster is recommended over anthus as the specific epithet since anthus appears to represent a numen dubium due to the lost type specimen possibly representing either this species of Lupulella adusta
Crocidura_anhuiensis	Crocidura attenuata	NA	NA	NA	MDD	recently described; part of the C attenuata complex; lumped as C attenuata in phylogeny
Crocidura_dongyangjiangensis	Crocidura attenuata	NA	NA	NA	MDD	recently described; part of the C attenuata complex; lumped as C attenuata in phylogeny
Cyclopes_dorsalis	Cyclopes didactylus	NA	NA	NA	MDD	split from C. didactylus in MOL but not phylogeny
