"uid","full_sci_name","match_type","BB_Accepted","BB_Accepted2","BB_Accepted3","BB_Accepted4","class","fuzzy_score"
"Abditomys_latidens","Abditomys latidens","1 - exact_fullsci_w_ssp","Abditomys latidens",NA,NA,NA,"Mammalia",NA
"Abeomelomys_sevia","Abeomelomys sevia","1 - exact_fullsci_w_ssp","Abeomelomys sevia",NA,NA,NA,"Mammalia",NA
"Abrawayaomys_ruschii","Abrawayaomys ruschii","1 - exact_fullsci_w_ssp","Abrawayaomys ruschii",NA,NA,NA,"Mammalia",NA
"Abrocoma_bennettii","Abrocoma bennettii","1 - exact_fullsci_w_ssp","Abrocoma bennettii",NA,NA,NA,"Mammalia",NA
"Abrocoma_boliviensis","Abrocoma boliviensis","1 - exact_fullsci_w_ssp","Abrocoma boliviensis",NA,NA,NA,"Mammalia",NA
"Abrocoma_budini","Abrocoma budini","1 - exact_fullsci_w_ssp","Abrocoma budini",NA,NA,NA,"Mammalia",NA
"Abrocoma_cinerea","Abrocoma cinerea","1 - exact_fullsci_w_ssp","Abrocoma cinerea",NA,NA,NA,"Mammalia",NA
"Abrocoma_famatina","Abrocoma famatina","1 - exact_fullsci_w_ssp","Abrocoma famatina",NA,NA,NA,"Mammalia",NA
"Abrocoma_uspallata","Abrocoma uspallata","1 - exact_fullsci_w_ssp","Abrocoma uspallata",NA,NA,NA,"Mammalia",NA
"Abrocoma_vaccarum","Abrocoma vaccarum","1 - exact_fullsci_w_ssp","Abrocoma vaccarum",NA,NA,NA,"Mammalia",NA
"Abrothrix_jelskii","Abrothrix jelskii","1 - exact_fullsci_w_ssp","Abrothrix jelskii",NA,NA,NA,"Mammalia",NA
"Abrothrix_manni","Abrothrix manni","1 - exact_fullsci_w_ssp","Abrothrix manni",NA,NA,NA,"Mammalia",NA
"Abrothrix_sanborni","Abrothrix sanborni","1 - exact_fullsci_w_ssp","Abrothrix sanborni",NA,NA,NA,"Mammalia",NA
"Acerodon_celebensis","Acerodon celebensis","1 - exact_fullsci_w_ssp","Acerodon celebensis",NA,NA,NA,"Mammalia",NA
"Acerodon_humilis","Acerodon humilis","1 - exact_fullsci_w_ssp","Acerodon humilis",NA,NA,NA,"Mammalia",NA
"Acerodon_jubatus","Acerodon jubatus","1 - exact_fullsci_w_ssp","Acerodon jubatus",NA,NA,NA,"Mammalia",NA
"Acerodon_leucotis","Acerodon leucotis","1 - exact_fullsci_w_ssp","Acerodon leucotis",NA,NA,NA,"Mammalia",NA
"Acinonyx_jubatus","Acinonyx jubatus","1 - exact_fullsci_w_ssp","Acinonyx jubatus",NA,NA,NA,"Mammalia",NA
