"Accepted","Synonym"
"Abditomys_latidens","Abditomys_latidens"
"Abditomys_latidens","Rattus_latidens"
"Abeomelomys_sevia","Abeomelomys_sevia"
"Abeomelomys_sevia","Melomys_sevia"
"Abeomelomys_sevia","Pogonomelomys_sevia"
"Abrawayaomys_ruschii","Abrawayaomys_ruschii"
"Abrocoma_bennettii","Abrocoma_bennettii"
"Abrocoma_boliviensis","Abrocoma_boliviensis"
"Abrocoma_budini","Abrocoma_budini"
"Abrocoma_cinerea","Abrocoma_cinerea"
"Abrocoma_famatina","Abrocoma_famatina"
"Abrocoma_uspallata","Abrocoma_uspallata"
"Abrocoma_vaccarum","Abrocoma_vaccarum"
"Abrothrix_jelskii","Abrothrix_jelskii"
"Abrothrix_jelskii","?_jelskii"
"Abrothrix_jelskii","Acodon_jelskii"
"Abrothrix_jelskii","Akodon_jelskii"
"Abrothrix_jelskii","Chroeomys_jelskii"
"Abrothrix_manni","Abrothrix_manni"
"Abrothrix_sanborni","Abrothrix_sanborni"
"Abrothrix_sanborni","Akodon_sanborni"
"Acerodon_celebensis","Acerodon_celebensis"
"Acerodon_celebensis","Pteropus_celebensis"
"Acerodon_humilis","Acerodon_humilis"
"Acerodon_jubatus","Acerodon_jubatus"
"Acerodon_leucotis","Acerodon_leucotis"
"Acinonyx_jubatus","Acinonyx_jubatus"
"Acinonyx_jubatus","Cynaelurus_jubatus"
"Acinonyx_jubatus","Felis_jubata"
"Acomys_cahirinus","Acomys_cahirinus"
"Acomys_cahirinus","Acomys_dimidiatus"
"Acomys_cahirinus","Acomys_hunteri"
"Acomys_cahirinus","Acomys_sabryi"
"Acomys_cahirinus","Acomys_viator"
"Acomys_cilicicus","Acomys_cilicicus"
"Acomys_cineraceus","Acomys_cineraceus"
"Acomys_cineraceus","Acomys_cinerascens"
"Acomys_cineraceus","Acomys_cinerasceus"
"Acomys_cineraceus","Acomys_cineraseus"
"Acomys_cineraceus","Acomys_hystrella"
"Acomys_cineraceus","Acomys_witherbyi"
"Acomys_dimidiatus","Acomys_dimidiatus"
"Acomys_dimidiatus","Acomys_cahirinus"
"Acomys_dimidiatus","Acomys_flavidus"
"Acomys_dimidiatus","Mus_dimidiatus"
"Acomys_dimidiatus","Mus_hispidus"
"Acomys_dimidiatus","Mus_megalotis"
"Acomys_ignitus","Acomys_ignitus"
"Acomys_johannis","Acomys_johannis"
"Acomys_kempi","Acomys_kempi"
"Acomys_kempi","Acomys_ignitus"
"Acomys_louisae","Acomys_louisae"
"Acomys_minous","Acomys_minous"
"Acomys_mullah","Acomys_mullah"
"Acomys_muzei","Acomys_muzei"
"Acomys_nesiotes","Acomys_nesiotes"
"Acomys_ngurui","Acomys_ngurui"
"Acomys_percivali","Acomys_percivali"
"Acomys_russatus","Acomys_russatus"
"Acomys_russatus","Acomys_lewisi"
"Acomys_russatus","Mus_affinis"
"Acomys_seurati","Acomys_seurati"
"Acomys_subspinosus","Acomys_subspinosus"
"Acomys_wilsoni","Acomys_wilsoni"
"Acomys_wilsoni","Acomys_ablutus"
"Aconaemys_fuscus","Aconaemys_fuscus"
"Aconaemys_porteri","Aconaemys_porteri"
"Aconaemys_sagei","Aconaemys_sagei"
"Acrobates_pygmaeus","Acrobates_pygmaeus"
"Acrobates_pygmaeus","Didelphis_pygmaea"
"Addax_nasomaculatus","Addax_nasomaculatus"
"Addax_nasomaculatus","Cerophorus_nasomaculata"
"Aegialomys_galapagoensis","Aegialomys_galapagoensis"
"Aegialomys_galapagoensis","?_galapagoensis"
"Aegialomys_galapagoensis","Oryzomys_bauri"
"Aegialomys_galapagoensis","Oryzomys_galapagoensis"
"Aegialomys_xanthaeolus","Aegialomys_xanthaeolus"
"Aegialomys_xanthaeolus","Oryzomys_xanthaeolus"
"Aegialomys_xanthaeolus","Oryzomys_xantheolus"
"Aepeomys_lugens","Aepeomys_lugens"
"Aepeomys_reigi","Aepeomys_reigi"
"Aepyceros_melampus","Aepyceros_melampus"
"Aepyceros_melampus","Antilope_melampus"
"Aepyprymnus_rufescens","Aepyprymnus_rufescens"
"Aepyprymnus_rufescens","Bettongia_rufescens"
"Aeretes_melanopterus","Aeretes_melanopterus"
"Aeretes_melanopterus","Pteromys_melanopterus"
"Aeromys_tephromelas","Aeromys_tephromelas"
"Aeromys_tephromelas","Pteromys_tephromelas"
"Aeromys_thomasi","Aeromys_thomasi"
"Aethalops_aequalis","Aethalops_aequalis"
"Aethalops_alecto","Aethalops_alecto"
"Aethomys_bocagei","Aethomys_bocagei"
"Aethomys_chrysophilus","Aethomys_chrysophilus"
"Aethomys_chrysophilus","Mus_chrysophilus"
"Aethomys_chrysophilus","Mus_voi"
"Aethomys_hindei","Aethomys_hindei"
"Aethomys_hindei","Epimys_kaiseri"
"Aethomys_hindei","Mus_medicatus"
"Aethomys_hindei","Mus_norae"
"Aethomys_hindei","Rattus_helleri"
"Aethomys_ineptus","Aethomys_ineptus"
"Aethomys_ineptus","Aethomys_chrysophilus"
"Aethomys_ineptus","Mus_chrysophilus"
"Aethomys_kaiseri","Aethomys_kaiseri"
"Aethomys_kaiseri","Epimys_kaiseri"
"Aethomys_kaiseri","Mus_manteufeli"
"Aethomys_kaiseri","Mus_walambae"
"Aethomys_nyikae","Aethomys_nyikae"
"Aethomys_silindensis","Aethomys_silindensis"
"Aethomys_stannarius","Aethomys_stannarius"
"Aethomys_thomasi","Aethomys_thomasi"
"Ailuropoda_melanoleuca","Ailuropoda_melanoleuca"
"Ailuropoda_melanoleuca","Aeluropus_melanoleucus"
"Ailuropoda_melanoleuca","Ailuropus_melanoleucus"
"Ailuropoda_melanoleuca","Ursus_melanoleucus"
"Ailurops_melanotis","Ailurops_melanotis"
"Ailurops_melanotis","Phalanger_melanotis"
"Ailurops_ursinus","Ailurops_ursinus"
"Ailurops_ursinus","?_ursinus"
"Ailurops_ursinus","Phalanger_ursinus"
"Akodon_aerosus","Akodon_aerosus"
"Akodon_affinis","Akodon_affinis"
"Akodon_affinis","Akodon_tolimae"
"Akodon_albiventer","Akodon_albiventer"
"Akodon_azarae","Akodon_azarae"
"Akodon_azarae","Mus_arenicola"
"Akodon_azarae","Mus_azarae"
"Akodon_boliviensis","Akodon_boliviensis"
