"uid","full_sci_name","match_type","BB_Accepted","BB_Accepted2","BB_Accepted3","BB_Accepted4","p","c","o","f","fuzzy_score"
"Abrothrix_jelskii","Abrothrix jelskii","1 - exact_fullsci_w_ssp","Abrothrix jelskii",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Acerodon_celebensis","Acerodon celebensis","1 - exact_fullsci_w_ssp","Acerodon celebensis",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Pteropodidae",NA
"Acerodon_jubatus","Acerodon jubatus","1 - exact_fullsci_w_ssp","Acerodon jubatus",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Pteropodidae",NA
"Acinonyx_jubatus","Acinonyx jubatus","1 - exact_fullsci_w_ssp","Acinonyx jubatus",NA,NA,NA,"Chordata","Mammalia","Carnivora","Felidae",NA
"Acomys_cahirinus","Acomys cahirinus","1 - exact_fullsci_w_ssp","Acomys cahirinus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Acomys_mullah","Acomys mullah","1 - exact_fullsci_w_ssp","Acomys mullah",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Acomys_spinosissimus","Acomys spinosissimus","1 - exact_fullsci_w_ssp","Acomys spinosissimus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Aconaemys_porteri","Aconaemys porteri","1 - exact_fullsci_w_ssp","Aconaemys porteri",NA,NA,NA,"Chordata","Mammalia","Rodentia","Octodontidae",NA
"Acrobates_pygmaeus","Acrobates pygmaeus","1 - exact_fullsci_w_ssp","Acrobates pygmaeus",NA,NA,NA,"Chordata","Mammalia","Diprotodontia","Acrobatidae",NA
"Addax_nasomaculatus","Addax nasomaculatus","1 - exact_fullsci_w_ssp","Addax nasomaculatus",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Aegialomys_xanthaeolus","Aegialomys xanthaeolus","1 - exact_fullsci_w_ssp","Aegialomys xanthaeolus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Aepyceros_melampus","Aepyceros melampus","1 - exact_fullsci_w_ssp","Aepyceros melampus",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Aepyprymnus_rufescens","Aepyprymnus rufescens","1 - exact_fullsci_w_ssp","Aepyprymnus rufescens",NA,NA,NA,"Chordata","Mammalia","Diprotodontia","Potoroidae",NA
"Aeretes_melanopterus","Aeretes melanopterus","1 - exact_fullsci_w_ssp","Aeretes melanopterus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Aeromys_tephromelas","Aeromys tephromelas","1 - exact_fullsci_w_ssp","Aeromys tephromelas",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Aethalops_alecto","Aethalops alecto","1 - exact_fullsci_w_ssp","Aethalops alecto",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Pteropodidae",NA
"Aethomys_chrysophilus","Aethomys chrysophilus","1 - exact_fullsci_w_ssp","Aethomys chrysophilus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
