uid	bb_name	bb_name2	bb_name3	bb_name4	source	notes
Allocebus_trichotus	Allocebus trichotis	NA	NA	NA	MDD	not explicitly stated in MDD but spelling is off by one letter and other web sources say it is a synonym
Anteliomys_chinensis	Eothenomys chinensis	NA	NA	NA	MDD	current MDD genus is Anteliomys but not in current MOL
Anteliomys_olitor	Eothenomys olitor	NA	NA	NA	MDD	current MDD genus is Anteliomys but not in current MOL
Bisbalus_citus	Mazama americana	NA	NA	NA	MDD	MDD lists as a former subspecies of M. americana; genus moved into Bisbalus in 2024
Bramus_fuscocapillus	Ellobius fuscocapillus	NA	NA	NA	MDD	moved from Ellobius to Bramus
Bramus_lutescens	Ellobius lutescens	NA	NA	NA	MDD	moved from Ellobius to Bramus
Bubalus_kerabau	Bubalus bubalis	NA	NA	NA	MDD	subspecies of bubalis; domestic
Canis_himalayensis	Canis lupus	NA	NA	NA	MDD	included in lupus as Canis lupus chanco
Canis_indica	Canis lupus	NA	NA	NA	MDD	included in lupus
Eupetaurus_nivamons	Eupetaurus cinereus	NA	NA	NA	MDD	nivamons was described in 2021 from populations previously confused with cinereus
Gardnerycteris_crenulata	Gardnerycteris crenulatum	NA	NA	NA	MDD	misspelled in NCBI
Giraffa_reticulata	Giraffa camelopardalis	NA	NA	NA	MDD	reticulata is now a valid species in MDD split in 2021 from camelopardalis; MOL still lumps into camelopardalis
Guerlinguetus_brasiliensis	Sciurus aestuans	NA	NA	NA	MDD	lots of proposed revisions in 2020 but this change not adopted by MDD or MOL yet: split from S. aestuans; under a new proposed taxonomic arrangement for Sciurini, S. brasiliensis (along with S. aestuans) would be moved to the genus Guerlinguetus; this arrangement is tentatively not followed here pending further investigation
Hadrosciurus_igniventris	Sciurus igniventris	NA	NA	NA	MDD	move into Hadrosciurus genus is proposed but not adopted yet by MDD or MOL
Hadrosciurus_pyrrhinus	Sciurus pyrrhinus	NA	NA	NA	MDD	move into Hadrosciurus genus is proposed but not adopted yet by MDD or MOL
Hadrosciurus_spadiceus	Sciurus spadiceus	NA	NA	NA	MDD	move into Hadrosciurus genus is proposed but not adopted yet by MDD or MOL
Hesperosciurus_griseus	Sciurus griseus	NA	NA	NA	MDD	move into Hesperosciurus genus proposed but not followed yet by MDD or MOL
Hylomys_macarong	Hylomys suillus	NA	NA	NA	MDD	new species described in 2023; previously confused with suillus
Hylomys_peguensis	Hylomys suillus	NA	NA	NA	MDD	split from H. suillus in 2023
